Company: Barclays PLC (BARC), Announcement: Total Voting Rights, Movement: +2.92%
Company: Euronext Dublin, Announcement: GEM Notice, Movement: N/A
Company: Euronext Dublin, Announcement: GEM Cancellation Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Cancellation Notice, Movement: N/A
Company: Euronext Dublin, Announcement: GEM Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Notice, Movement: N/A
Company: Euronext Dublin, Announcement: GEM Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Suspension Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Suspension Notice, Movement: N/A
Company: Euronext Dublin, Announcement: Euronext Dublin Market Suspension Notice, Movement: N/A
Company: ExodusPoint Capital (0RJE), Announcement: Form 8.3 - Takeaway.com NV, Movement: N/A
Company: ExodusPoint Capital (0RJE), Announcement: Form 8.3 - Takeaway.com NV, Movement: N/A
Company: ExodusPoint Capital (JE.), Announcement: Form 8.3 - Just Eat Plc, Movement: N/A
Company: ExodusPoint Capital (JE.), Announcement: Form 8.3 - Just Eat Plc, Movement: N/A
Company: ExodusPoint Capital (JE.), Announcement: Form 8.3 - Just Eat Plc, Movement: N/A
Company: EZZ Steel Company (AEZD), Announcement: EZZSTEEL REPORTS CONSOLIDATED 9M 2019 RESULTS, Movement: N/A
Company: F&C Investment Trust (FCIT), Announcement: Portfolio Update, Movement: N/A
Company: F&C Investment Trust (FCIT), Announcement: Compliance with Market Abuse Regulations, Movement: N/A
Company: F&C Investment Trust (FCIT), Announcement: Block listing Interim Review, Movement: N/A
Company: F&C Investment Trust (FCIT), Announcement: Total Voting Rights, Movement: N/A
Company: Falanx Group Limited (FLX), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Farallon Capital Europe LLP (0RJE), Announcement: Form 8.3 - Takeaway.com NV, Movement: N/A
Company: Farallon Capital Europe LLP (JE.), Announcement: FORM 8.3 - JUST EAT PLC, Movement: N/A
Company: Fastnet Securities10 (IRSH), Announcement: Election of Home Member State, Movement: N/A
Company: Fastnet Securities11 (IRSH), Announcement: Election of Home Member State, Movement: N/A
Company: FDM Group plc (FDM), Announcement: Total Voting Rights, Movement: N/A
Company: Ferrexpo plc (FXPO), Announcement: Ferrexpo Special Interim Dividend, Movement: N/A
Company: Fidelity China (FCSS), Announcement: Total Voting Rights, Movement: N/A
Company: Fidelity European (FEV), Announcement: Total Voting Rights, Movement: N/A
Company: Fidelity Japan Trust (FJV), Announcement: Total Voting Rights, Movement: N/A
Company: Fidelity Special Val (FSV), Announcement: Issue of Equity, Movement: N/A
Company: Fidelity Special Val (FSV), Announcement: Total Voting Rights, Movement: N/A
Company: FIL Limited, Announcement: Form 8.3 - Allergan Plc, Movement: N/A
Company: FIL Limited, Announcement: Form 8.3 - Abbvie Inc, Movement: N/A
Company: FIL Limited, Announcement: Form 8.3 - Abbvie Inc, Movement: N/A
Company: FIL Limited, Announcement: Form 8.3 - Allergan Plc, Movement: N/A
Company: Filtronic PLC (FTC), Announcement: Completion Of Sale Of Telecoms Antenna Business, Movement: N/A
Company: FinEx Funds plc (IRSH), Announcement: Net Asset Value, Movement: N/A
Company: Fins Growth Inc Tst (FGT), Announcement: Total Voting Rights, Movement: N/A
Company: Finsbury Food Group (FIF), Announcement: Holding(s) in Company, Movement: N/A
Company: FirstGroup PLC (FGP), Announcement: Total Voting Rights, Movement: N/A
Company: Fisher (James) (FSJ), Announcement: Total Voting Rights, Movement: N/A
Company: Flutter Entertainmnt (FLTR), Announcement: Total Voting Rights, Movement: N/A
Company: Forterra plc (FORT), Announcement: Company Secretary Change, Movement: N/A
Company: Forterra plc (FORT), Announcement: Holding(s) in Company, Movement: N/A
Company: Forterra plc (FORT), Announcement: Holding(s) in Company, Movement: N/A
Company: Franchise Brands PLC (FRAN), Announcement: Share Repurchase Programme, Movement: N/A
Company: FranklinResourcesInc, Announcement: Form 8.3 - Allergan plc, Movement: N/A
Company: FranklinResourcesInc, Announcement: Form 8.3 - Allergan plc, Movement: N/A
Company: Fuller, Smith & Turner PLC (FSTA), Announcement: Fullers Smith & Turner PLC: Treasury Stock, Movement: N/A
Company: Fundsmith Emerging (FEET), Announcement: Total Voting Rights, Movement: N/A
Company: Future PLC (FUTR), Announcement: Block listing Interim Review, Movement: N/A
Company: Future PLC (FUTR), Announcement: Total Voting Rights, Movement: N/A
Company: G3 Exploration Ltd (G3E), Announcement: Corporate Update, Movement: N/A
Company: Galliford Try PLC (GFRD), Announcement: Total Voting Rights, Movement: N/A
Company: Galliford Try PLC (GFRD), Announcement: Share Exchange Ratio & Listing Application Details, Movement: N/A
Company: Gamesys Group PLC (GYS), Announcement: Block Listing Return, Movement: N/A
Company: Gamesys Group PLC (GYS), Announcement: Total Voting Rights, Movement: N/A
Company: GCP Student Living (DIGS), Announcement: Total Voting Rights, Movement: N/A
Company: Genus (GNS), Announcement: Total Voting Rights, Movement: N/A
Company: Georgia Capital PLC (CGEO), Announcement: Holding(s) in Company, Movement: N/A
Company: Georgia Capital PLC (CGEO), Announcement: Total Voting Rights, Movement: N/A
Company: Georgia Capital PLC (CGEO), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Georgia Capital PLC (CGEO), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Georgia Capital PLC (CGEO), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Georgia Healthcare (GHG), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: GIC Private Limited (IRSH), Announcement: Form 8.3 - Allergan plc, Movement: N/A
Company: GlaxoSmithKline PLC (GSK), Announcement: Total Voting Rights, Movement: N/A
Company: Go-Ahead Group PLC (GOG), Announcement: Block listing Interim Review, Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI) - Amendment, Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI) - Amendment, Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI) - Amendment, Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI) - Amendment, Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI) - Amendment, Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI) - Amendment, Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI) - Amendment, Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI) - Amendment, Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI) - Amendment, Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI) - Amendment, Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI) - Amendment, Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI), Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI), Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI), Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI), Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI), Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI), Movement: N/A
Company: Goldman Sachs (EPT), Announcement: Form 8.5 (EPT/RI), Movement: N/A
Company: Goldman Sachs Group, Announcement: Form 8.3 - Allergan Plc - Amendment, Movement: N/A
Company: Goldman Sachs Group, Announcement: Form 8.3 - Allergan PLC - Amendment, Movement: N/A
Company: Goldman Sachs Group, Announcement: Form 8.3 - Allergan Plc, Movement: N/A
Company: Greencoat Renewables (GRP), Announcement: Total Voting Rights, Movement: N/A
Company: Greencore Group PLC (GNC), Announcement: Holding(s) in Company, Movement: N/A
Company: Gresham House Energy (GRID), Announcement: Acquisition of a 49MW battery storage project, Movement: N/A
Company: Gresham House PLC (GHE), Announcement: Sale of a 49MW grid level battery storage project, Movement: N/A
Company: Gulf Investment Fund (GIF), Announcement: Quarterly Disclosure, Movement: N/A
Company: Gulf Keystone Petrol (GKP), Announcement: Transaction in Own Shares, Movement: N/A
Company: GVC Holdings PLC (GVC), Announcement: Total Voting Rights, Movement: N/A
Company: GVC Holdings PLC (GVC), Announcement: Notification of Major Holdings, Movement: N/A
Company: Halcyon ME2007-1 B.V (IRSH), Announcement: Delisting Notice, Movement: N/A
Company: HalcyonCLO2006-2BV (IRSH), Announcement: Delisting Notice, Movement: N/A
Company: Hays PLC (HAS), Announcement: Total Voting Rights, Movement: N/A
Company: HBK Investments LP, Announcement: Form 8.3 - Allergan Plc, Movement: N/A
Company: Henderson European (HEFT), Announcement: Block listing Interim Review, Movement: N/A
Company: Henderson Int Income (HINT), Announcement: Issue of Equity, Movement: N/A
Company: Henderson Int Income (HINT), Announcement: Total Voting Rights, Movement: N/A
Company: HendersonFarE IncLtd (HFEL), Announcement: Total Voting Rights, Movement: N/A
Company: HG Capital Trust PLC (HGT), Announcement: Total Voting Rights, Movement: N/A
Company: HG Capital Trust PLC (HGT), Announcement: Issue of Equity, Movement: N/A
Company: HICL Infrastrct PLC (HICL), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: HICL Infrastrct PLC (HICL), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: HICL Infrastrct PLC (HICL), Announcement: Total Voting Rights, Movement: N/A
Company: Hikma Pharmaceutical (HIK), Announcement: Total Voting Rights, Movement: N/A
Company: Hiscox Ltd (HSX), Announcement: Total Voting Rights, Movement: N/A
Company: Homeserve Plc (HSV), Announcement: Total Voting Rights, Movement: N/A
Company: Hotel Chocolat Group (HOTC), Announcement: Total Voting Rights, Movement: N/A
Company: Housing Dev Fin Corp (60CX), Announcement: Updates for quarter ended December 31, 2019, Movement: N/A
Company: Housing Dev Fin Corp (60CX), Announcement: update on the acquisition of stake - Apollo Munich, Movement: N/A
Company: Howden Joinery Grp (HWDN), Announcement: Total Voting Rights, Movement: N/A
Company: HSBC Bank Plc, Announcement: HSBC BANK PLC - Form 8.5 (EPT/RI) - Centamin plc, Movement: N/A
Company: HydroDec Group plc (HYR), Announcement: Holding(s) in Company, Movement: N/A
Company: Hyve Group PLC (HYVE), Announcement: Voting rights and capital, Movement: N/A
Company: i3 Energy PLC (I3E), Announcement: Corporate and Funding Update, Movement: N/A
Company: IG Group Hldgs plc (IGG), Announcement: Total Voting Rights, Movement: N/A
Company: Igas Energy PLC (IGAS), Announcement: Holding(s) in Company, Movement: N/A
Company: Ilika plc (IKA), Announcement: Second Price Monitoring Extn, Movement: N/A
Company: Ilika plc (IKA), Announcement: Price Monitoring Extension, Movement: N/A
Company: IMI PLC (IMI), Announcement: Total Voting Rights, Movement: N/A
Company: Impax Environ Mkts (IEM), Announcement: Second sale of treasury shares, Movement: N/A
Company: Impax Environ Mkts (IEM), Announcement: Sale of treasury shares, Movement: N/A
Company: Imperial Brands PLC (IMB), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Imperial Brands PLC (IMB), Announcement: Total Voting Rights, Movement: N/A
Company: Inchcape PLC (INCH), Announcement: Total Voting Rights, Movement: N/A
Company: Independent Oil &Gas (IOG), Announcement: Grant of Share Options, Movement: N/A
Company: Indian Railway Fin. (99WX), Announcement: Annual Report for the year 2018-19, Movement: N/A
Company: Indivior PLC (INDV), Announcement: Total Voting Rights, Movement: N/A
Company: Indivior PLC (INDV), Announcement: Holding(s) in Company, Movement: N/A
Company: Infrastructure India (IIP), Announcement: Directorate Change, Movement: N/A
Company: Inspirata, Inc., Announcement: Experienced Healthcare Leader Oenone Duroe Joins Inspirata as General Manager, Europe, Movement: N/A
Company: Instone Real Estate Group AG, Announcement: Release according to Article 40, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution, Movement: N/A
Company: Interco. Hotels Grp (IHG), Announcement: Total Voting Rights, Movement: N/A
Company: Intermediate Capital (ICP), Announcement: ICG: Notification of Transactions of Directors, Movement: N/A
Company: International PPL (INPP), Announcement: Total Voting Rights, Movement: N/A
Company: Intertek Group Plc (ITRK), Announcement: Total Voting Rights, Movement: N/A
Company: INVESCO Asia Trust (IAT), Announcement: Total Voting Rights, Movement: N/A
Company: Invesco Ltd., Announcement: Invesco Ltd.: Form 8.3 - Endeavour Mining Corp, Movement: N/A
Company: Invesco Perp Sel Tst, Announcement: Statement re MAR Compliance, Movement: N/A
Company: Invesco Perp Sel Tst, Announcement: Total Voting Rights, Movement: N/A
Company: Investec Asset Management Limi, Announcement: Form 8.3 - Centamin Plc, Movement: N/A
Company: Investec Asset Management Limi, Announcement: Form 8.3 - Endeavour Mining Corporation, Movement: N/A
Company: Investec Bank plc (INVP), Announcement: Form 8.5 (EPT/RI) - Consort Medical Plc, Movement: N/A
Company: Iofina PLC (IOF), Announcement: Holding(s) in Company, Movement: N/A
Company: Iomart Group PLC (IOM), Announcement: Second Price Monitoring Extn, Movement: N/A
Company: Iomart Group PLC (IOM), Announcement: Price Monitoring Extension, Movement: N/A
Company: IQGeo Group PLC (IQG), Announcement: Block listing Interim Review, Movement: N/A
Company: IQGeo Group PLC (IQG), Announcement: Total Voting Rights, Movement: N/A
Company: ITM Power PLC (ITM), Announcement: HyDeploy in Full Operation, Movement: N/A
Company: ITV PLC (ITV), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: J O Hambro Cap.Man., Announcement: Form 8.3 - Northgate Plc, Movement: N/A
Company: Jangada Mines PLC (JAN), Announcement: New Corporate Presentation, Movement: N/A
Company: JD Sports Fashion (JD.), Announcement: Corporate Governance Review - Update, Movement: N/A
Company: JP Morgan Sec LLC, Announcement: AbbVie Inc. 38.5b AMENDMENT, Movement: N/A
Company: JP Morgan Sec LLC, Announcement: Allergan plc 38.5b, Movement: N/A
Company: JP Morgan Sec LLC, Announcement: AbbVie Inc. 38.5b, Movement: N/A
Company: JPMorgan Amer InvTst (JAM), Announcement: Closed Period Notification, Movement: N/A
Company: JPMorgan Asian Inv (JAI), Announcement: Dividend Declaration, Movement: N/A
Company: JPMorgan Asset Mngt, Announcement: AbbVie Inc. 8.3, Movement: N/A
Company: JPMorgan Elect PLC (JPE), Announcement: Transaction in Own Shares, Movement: N/A
Company: JPMorgan Emerg Mkts (JMG), Announcement: Commencement of Closed Period, Movement: N/A
Company: JPMorgan Global (JPGI), Announcement: Closed Period Commencement, Movement: N/A
Company: JPMorgan Jap Smllr (JPS), Announcement: Dividend Declaration, Movement: N/A
Company: JPMorgan Mid Cap (JMF), Announcement: Closed Period Notification, Movement: N/A
Company: JPMorgan Sec.Plc, Announcement: Form 8.5 (EPT/RI)- Takeaway.com N.V., Movement: N/A
Company: JPMorgan Sec.Plc, Announcement: Form 8.5 (EPT/RI)- Redde plc, Movement: N/A
Company: JPMorgan Sec.Plc, Announcement: Form 8.5 (EPT/RI)- Just Eat plc, Movement: N/A
Company: JPMorgan Sec.Plc, Announcement: Form 8.5 (EPT/RI)- Sophos Group plc, Movement: N/A
Company: JPMorgan Sec.Plc, Announcement: Form 8.5 (EPT/RI)- Northgate plc, Movement: N/A
Company: JPMorgan Sec.Plc, Announcement: Form 8.5 (EPT/RI)- Cobham plc, Movement: N/A
Company: JPMorganUS Small Cos (JUSC), Announcement: Closed Period Announcement, Movement: N/A
Company: Jubii Europe N.V., Announcement: Announcement  of the Convening of the General Meeting in Kanzlei der Allen & Overy LLP, Apollolaan 15, 1077 AB Amsterdam, Niederlande on 13.02.2020 according to article 121 AktG (German Stock Companies Act) with the objective of Europe-wide distribution, Movement: N/A
Company: Judges ScientificPLC (JDG), Announcement: Total Voting Rights, Movement: N/A
Company: Jupiter UK Growth In (JUKG), Announcement: Compliance with Market Abuse Regulation, Movement: N/A
Company: Jupiter US Smllr Co. (JUS), Announcement: Compliance with Market Abuse Regulation, Movement: N/A
Company: Jupiter US Smllr Co. (JUS), Announcement: Block listing Interim Review, Movement: N/A
Company: Just Eat Plc (JE.), Announcement: Total Voting Rights, Movement: N/A
Company: Just Group plc (JUST), Announcement: Total Voting Rights, Movement: N/A
Company: JZ Capital Ptnrs Ltd (JZCP), Announcement: Director Declaration, Movement: N/A
Company: Keller Group PLC (KLR), Announcement: Blocklisting - Interim Review, Movement: N/A
Company: Keller Group PLC (KLR), Announcement: Total Voting Rights, Movement: N/A
Company: Kerry Group PLC (KYGA), Announcement: Total Voting Rights, Movement: N/A
Company: Keystone IT Plc (KIT), Announcement: Total Voting Rights, Movement: N/A
Company: Kier Group PLC (KIE), Announcement: Block listing Interim Review, Movement: N/A
Company: Kingfisher PLC (KGF), Announcement: Total Voting Rights, Movement: N/A
Company: Kingspan Group PLC (KGP), Announcement: Block listing Interim Review, Movement: N/A
Company: Kingspan Group PLC (KGP), Announcement: Total Voting Rights, Movement: N/A
Company: Land Sec. Group PLC (LAND), Announcement: Total Voting Rights, Movement: N/A
Company: Leaf Clean Energy Co (LEAF), Announcement: Result of AGM, Movement: N/A
Company: Legal & General Grp (LGEN), Announcement: Block listing Interim Review, Movement: N/A
Company: Legal & General Grp (LGEN), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Legal & General Grp (LGEN), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Legal & General Grp (LGEN), Announcement: Total Voting Rights, Movement: N/A
Company: Legal&Gen Inv Mgmnt, Announcement: Form 8.3 - Proactis Holdings Plc, Movement: N/A
Company: Legal&Gen Inv Mgmnt, Announcement: Form 8.3 - Sophos Group Plc, Movement: N/A
Company: Legal&Gen Inv Mgmnt, Announcement: Form 8.3 - Just Eat Plc, Movement: N/A
Company: Legal&Gen UCITS ETF, Announcement: Result of AGM, Movement: N/A
Company: Legg Mason, Inc., Announcement: Form 8.3 - Allergan plc, Movement: N/A
Company: Legg Mason, Inc., Announcement: Form 8.3 - Allergan PLC, Movement: N/A
Company: Link Fund Solutions Ltd (REDD), Announcement: Redde Plc, Movement: N/A
Company: Liontrust Asset Mgmt (LIO), Announcement: Holding(s) in Company, Movement: N/A
Company: Lloyds Banking Group (LLOY), Announcement: Block listing Interim Review, Movement: N/A
Company: Loungers PLC (LGRS), Announcement: Director Dealing, Movement: N/A
Company: Low & Bonar PLC (LWB), Announcement: Total Voting Rights, Movement: N/A
Company: M. P. Evans Group (MPE), Announcement: Total Voting Rights, Movement: N/A
Company: M. P. Evans Group (MPE), Announcement: Block listing Interim Review, Movement: N/A
Company: Maintel Holdings PLC (MAI), Announcement: Notification of Transactions of Directors/PDMR, Movement: N/A
Company: Majedie Invs.PLC (MAJE), Announcement: Total Voting Rights, Movement: N/A
Company: Man Group plc (EMG), Announcement: Man Group PLC : Form 8.3 - Centamin PLC, Movement: N/A
Company: Man Group plc (EMG), Announcement: Total Voting Rights, Movement: N/A
Company: Manchester & London (MNL), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Manchester & London (MNL), Announcement: Total Voting Rights, Movement: N/A
Company: Manikay Partners, LLC (JE.), Announcement: Form 8.3 - Just Eat plc, Movement: N/A
Company: Marathon Asset Manag (JE.), Announcement: Form 8.3 - Just Eat plc, Movement: N/A
Company: Marble Point Ln Fin (MPLF), Announcement: Dividend Declaration, Movement: N/A
Company: Marks & Spencer Grp (MKS), Announcement: Block listing Interim Review, Movement: N/A
Company: Marks & Spencer Grp (MKS), Announcement: Total Voting Rights, Movement: N/A
Company: Marlborough Intnl Fd (IRSH), Announcement: Change to Fees, Movement: N/A
Company: Marsh & McLennan. (MHM), Announcement: Marsh & McLennan to Host Fourth Quarter Earnings Investor Call on January 30, Movement: N/A
Company: Marston's Plc (MARS), Announcement: Total Voting Rights, Movement: N/A
Company: Martin Currie GblPrt (MNP), Announcement: Total Voting Rights, Movement: N/A
Company: MC Mining Limited (MCM), Announcement: Director Resignation, Movement: N/A
Company: McCarthy & Stone PLC (MCS), Announcement: Total Voting Rights, Movement: N/A
Company: Menzies(John) PLC (MNZS), Announcement: Total Voting Rights, Movement: N/A
Company: Menzies(John) PLC (MNZS), Announcement: Blocklisting - Interim Review, Movement: N/A
Company: Mercantile Inv Tst (MRC), Announcement: Listing Rule 15.6.8, Movement: N/A
Company: Mereo BioPharma Grp (MPH), Announcement: Second Price Monitoring Extn, Movement: N/A
Company: Mereo BioPharma Grp (MPH), Announcement: Price Monitoring Extension, Movement: N/A
Company: Metal Tiger plc (MTR), Announcement: Transaction in own Shares, Movement: N/A
Company: Metro Bank PLC (MTRO), Announcement: Total Voting Rights, Movement: N/A
Company: MGI Arbea Fund Ltd (IRSH), Announcement: Resignation of Director, Movement: N/A
Company: Michelmersh Brick (MBH), Announcement: Grant of Options, Movement: N/A
Company: Micro Focus Int plc (MCRO), Announcement: Total Voting Rights, Movement: N/A
Company: Mid Wynd Inter Inv (MWY), Announcement: Compliance with Market Abuse Regulation, Movement: N/A
Company: Middlefield Canadian (MCT), Announcement: Dividend Declaration, Movement: N/A
Company: MILLENNIUM PARTNERS, L.P. (0RJE), Announcement: Form 8.3 - Takeaway.com N.V., Movement: N/A
Company: MILLENNIUM PARTNERS, L.P. (0YYC), Announcement: Form 8.3 - Endeavour Mining Corporation, Movement: N/A
Company: MILLENNIUM PARTNERS, L.P. (0YYC), Announcement: Form 8.3 - Endeavour Mining Corporation, Movement: N/A
Company: MILLENNIUM PARTNERS, L.P. (AMER), Announcement: Form 8.3 - Amerisur Resources plc, Movement: N/A
Company: MILLENNIUM PARTNERS, L.P. (CEY), Announcement: Form 8.3 - Centamin plc, Movement: N/A
Company: MILLENNIUM PARTNERS, L.P. (JE.), Announcement: Form 8.3 - Just Eat plc, Movement: N/A
Company: Mitchells & Butlers (MAB), Announcement: Total Voting Rights, Movement: N/A
Company: MITIE Group PLC (MTO), Announcement: Total Voting Rights, Movement: N/A
Company: MITIE Group PLC (MTO), Announcement: Board Changes, Movement: N/A
Company: Monks Inv.Trust (MNKS), Announcement: Total Voting Rights, Movement: N/A
Company: Morgan Sindall Grp (MGNS), Announcement: Total Voting Rights, Movement: N/A
Company: Morgan Stan. Canada, Announcement: Form 8.3 - Endeavour Mining Corporation, Movement: N/A
Company: Morgan Stanley & Co. (48QN), Announcement: Form 8.5 (EPT/RI) - Replacement of JUST EAT PLC, Movement: N/A
Company: Morgan Stanley & Co. (48QN), Announcement: Form 8.5 (EPT/RI) - Replacement of JUST EAT PLC, Movement: N/A
Company: Morgan Stanley & Co. (48QN), Announcement: Form 8.5 (EPT/RI) -Replacement of TAKEAWAY.COM N.V, Movement: N/A
Company: Morgan Stanley & Co. (48QN), Announcement: Form 8.5 (EPT/RI) - JUST EAT PLC, Movement: N/A
Company: Morgan Stanley & Co. (48QN), Announcement: Form 8.5 (EPT/RI) - TAKEAWAY.COM N.V., Movement: N/A
Company: Morgan Stanley & Co. (48QN), Announcement: Rule 38.5 - ALLERGAN PLC, Movement: N/A
Company: Morgan Stanley & Co. (48QN), Announcement: Rule 38.5 - ABBVIE INC., Movement: N/A
Company: Morgan Stanley & Co. (48QN), Announcement: Rule 38.5 - Replacement of ABBVIE INC., Movement: N/A
Company: Morgan Stanley & Co. (48QN), Announcement: Form 8.5 (EPT/RI) - Replacement of JUST EAT PLC, Movement: N/A
Company: Morgan Stanley B.V. (18XV), Announcement: Early Redemption, Movement: N/A
Company: Morgan Stanley Cap, Announcement: Rule 38.5 - ALLERGAN PLC, Movement: N/A
Company: Morgan Stanley Cap, Announcement: Rule 38.5 - ABBVIE INC., Movement: N/A
Company: Morgan Stanley Smith, Announcement: Form 8.3 - ABBVIE INC., Movement: N/A
Company: Morgan Stanley&CoLLC, Announcement: Form 8.5 (EPT/RI) - TAKEAWAY.COM N.V., Movement: N/A
Company: Morgan Stanley&CoLLC, Announcement: Rule 38.5 - ALLERGAN PLC, Movement: N/A
Company: Morgan Stanley&CoLLC, Announcement: Rule 38.5 - ABBVIE INC., Movement: N/A
Company: Morgan Stanley&CoLLC, Announcement: Rule 38.5 - Replacement of ALLERGAN PLC, Movement: N/A
Company: Morgan Stanley&CoLLC, Announcement: Rule 38.5 - Replacement of ABBVIE INC., Movement: N/A
Company: Morrison W.Sprmkts (MRW), Announcement: Total Voting Rights, Movement: N/A
Company: Mothercare PLC (MTC), Announcement: Directorate change, Movement: N/A
Company: Münchener Rückversicherungs-, Announcement: Release according to Article 40, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution, Movement: N/A
Company: Naked Wines PLC (WINE), Announcement: Total Voting Rights, Movement: N/A
Company: National Grid PLC (NG.), Announcement: Total Voting Rights, Movement: N/A
Company: NB Glbl Fltg Rte Inc (NBLS), Announcement: Total Voting Rights, Movement: N/A
Company: NB Glbl Fltg Rte Inc (NBLS), Announcement: Transaction in Own Shares, Movement: N/A
Company: NB Private Equity Partners Lim (NBPE), Announcement: NB Private Equity: Total Voting Rights, Movement: N/A
Company: NBC GLOBAL (EIGÂ), Announcement: Form 8.3 - EIG LN Equity 30-December-19 Decrease In Traded Position, Movement: N/A
Company: Nektan PLC (NKTN), Announcement: Temporary Suspension, Movement: N/A
Company: NeubergerBerman Inv. (IRSH), Announcement: Change of Listing Sponsor, Movement: N/A
Company: NEX Exchange (NEXX), Announcement: Admission of Security to Trading, Movement: N/A
Company: NEX Exchange (NEXX), Announcement: Suspension of Trading, Movement: N/A
Company: Nomura International, Announcement: Form 8.5 - EI Group plc, Movement: N/A
Company: Nomura Intl. PLC, Announcement: Form 8.3 - AMERISUR RESOURCES PLC, Movement: N/A
Company: North American IT (NAIT), Announcement: Total Voting Rights, Movement: N/A
Company: Northern Bear Plc (NTBR), Announcement: Notification of Holdings, Movement: N/A
Company: Northern Trust Corp, Announcement: Form 8.3 - ALLERGAN PLC, Movement: N/A
Company: Northern Trust Corp, Announcement: Form 8.3 - ABBVIE INC, Movement: N/A
Company: Novacyt S.A. (NCYT), Announcement: Liquidity Agreement Update and Total Voting Rights, Movement: N/A
Company: Numis Corporation (NUM), Announcement: TR-1: Notification of major holdings, Movement: N/A
Company: Numis Corporation (NUM), Announcement: Annual Report and Annual General Meeting Notice, Movement: N/A
Company: Numis Securities Ltd, Announcement: Form 8.5 (EPT/RI) - Centamin plc, Movement: N/A
Company: Numis Securities Ltd, Announcement: Form 8.5 (EPT/RI) - Redde plc, Movement: N/A
Company: Numis Securities Ltd, Announcement: Form 8.5 (EPT/RI) - accesso Technology Group plc, Movement: N/A
Company: Octopus AIM VCT 2 plc (OSEC), Announcement: Total voting rights, Movement: N/A
Company: Octopus AIM VCT PLC (OOA), Announcement: Total voting rights, Movement: N/A
Company: Odyssean Inv. Trust (OIT), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Official List, Announcement: Removal - BNP Paribas, Movement: N/A
Company: Official List, Announcement: Removal - Trader Media East Limited, Movement: N/A
Company: Official List, Announcement: Official List Notice, Movement: N/A
Company: Official List, Announcement: Suspension - Carclo PLC, Movement: N/A
Company: Omni Partners LLP, Announcement: Form 8.3 - EIG LN, Movement: N/A
Company: Omni Partners LLP, Announcement: Form 8.3 - EIG LN, Movement: N/A
Company: Open Orphan PLC (ORPH), Announcement: Form 8.3 - Open Orphan PLC, Movement: N/A
Company: Oracle Power PLC (ORCP), Announcement: Exercise of warrants and issue of equity, Movement: N/A
Company: Orchard Funding Grp (ORCH), Announcement: Holding(s) in Company, Movement: N/A
Company: Oxford Biomedica PLC (OXB), Announcement: Total Voting Rights, Movement: N/A
Company: Pacific Assets Tst (PAC), Announcement: Total Voting Rights, Movement: N/A
Company: PageGroup plc (PAGE), Announcement: Total Voting Rights, Movement: N/A
